Rk,G,Date,Age,Tm,,Opp,,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,51,2017-02-04,28-128,GSW,@,SAC,L (-3),1,42:20,2,10,.200,0,6,.000,6,7,.857,0,9,9,2,1,5,3,0,10,9.0,+6
2,2,2016-10-28,28-029,GSW,@,NOP,W (+8),1,39:06,9,19,.474,0,3,.000,12,12,1.000,0,17,17,6,2,2,2,2,30,30.2,+4
3,32,2016-12-25,28-087,GSW,@,CLE,L (-1),1,38:10,11,23,.478,2,8,.250,12,12,1.000,0,15,15,3,1,1,0,2,36,31.8,0
4,3,2016-10-30,28-031,GSW,@,PHO,W (+6),1,37:56,10,16,.625,2,4,.500,15,16,.938,0,4,4,4,4,1,4,2,37,33.3,+18
5,26,2016-12-13,28-075,GSW,@,NOP,W (+4),1,37:14,10,19,.526,1,3,.333,6,7,.857,0,2,2,3,0,2,3,2,27,17.6,+1
6,50,2017-02-02,28-126,GSW,@,LAC,W (+13),1,37:12,8,18,.444,2,7,.286,8,8,1.000,0,8,8,10,1,0,0,3,26,25.8,+13
7,25,2016-12-11,28-073,GSW,@,MIN,W (+8),1,37:02,6,21,.286,1,4,.250,9,9,1.000,1,7,8,5,0,0,1,2,22,14.2,+9
8,46,2017-01-25,28-118,GSW,@,CHO,W (+10),1,36:38,11,20,.550,1,4,.250,10,10,1.000,0,5,5,1,0,4,6,3,33,21.2,-1
9,38,2017-01-08,28-101,GSW,@,SAC,W (+11),1,36:27,9,15,.600,2,4,.500,8,9,.889,0,7,7,6,1,4,1,1,28,29.4,+6
10,45,2017-01-23,28-116,GSW,@,MIA,L (-3),1,36:26,12,23,.522,1,8,.125,2,2,1.000,0,6,6,3,1,0,2,2,27,17.8,-9
11,48,2017-01-29,28-122,GSW,@,POR,W (+2),1,36:01,13,26,.500,1,7,.143,6,6,1.000,2,8,10,6,0,1,7,2,33,20.9,-3
12,23,2016-12-08,28-070,GSW,@,UTA,W (+7),1,36:00,7,15,.467,1,3,.333,6,8,.750,0,11,11,4,1,2,3,2,21,17.2,+11
13,13,2016-11-19,28-051,GSW,@,MIL,W (+3),1,35:57,10,17,.588,5,8,.625,8,11,.727,0,6,6,5,2,1,0,5,33,29.9,+3
14,11,2016-11-16,28-048,GSW,@,TOR,W (+6),1,35:53,11,21,.524,3,8,.375,5,6,.833,2,7,9,6,1,0,4,3,30,22.8,-6
15,6,2016-11-04,28-036,GSW,@,LAL,L (-20),1,35:17,10,16,.625,2,4,.500,5,8,.625,1,4,5,3,2,1,2,1,27,22.9,-17
16,43,2017-01-20,28-113,GSW,@,HOU,W (+17),1,33:44,12,19,.632,2,7,.286,6,7,.857,0,4,4,7,2,2,1,2,32,30.8,+25
17,30,2016-12-22,28-084,GSW,@,BRK,W (+16),1,33:32,10,23,.435,1,7,.143,5,6,.833,0,9,9,7,3,1,0,2,26,24.0,+10
18,16,2016-11-25,28-057,GSW,@,LAL,W (+24),1,33:20,11,19,.579,3,6,.500,4,6,.667,1,5,6,9,1,2,2,4,29,26.6,+36
19,12,2016-11-18,28-050,GSW,@,BOS,W (+16),1,32:46,10,13,.769,1,2,.500,2,4,.500,1,9,10,7,2,1,2,1,23,25.7,+32
20,54,2017-02-11,28-135,GSW,@,OKC,W (+16),1,32:44,12,21,.571,3,6,.500,7,7,1.000,1,8,9,3,0,0,3,5,34,24.3,+12
21,53,2017-02-10,28-134,GSW,@,MEM,W (+15),1,32:20,5,14,.357,3,6,.500,11,14,.786,0,5,5,4,1,2,3,2,24,17.9,+2
22,22,2016-12-07,28-069,GSW,@,LAC,W (+17),1,31:51,5,17,.294,1,5,.200,5,6,.833,0,8,8,7,1,0,0,3,16,12.8,+14
23,31,2016-12-23,28-085,GSW,@,DET,W (+6),1,31:34,13,18,.722,3,4,.750,3,4,.750,0,8,8,3,0,0,4,5,32,22.7,+16
24,24,2016-12-10,28-072,GSW,@,MEM,L (-21),1,30:55,7,13,.538,3,6,.500,4,5,.800,0,7,7,1,1,2,3,2,21,15.7,-22
25,4,2016-11-01,28-033,GSW,@,POR,W (+23),1,30:43,9,15,.600,0,3,.000,2,3,.667,1,4,5,2,4,1,2,3,20,17.5,+12
26,9,2016-11-10,28-042,GSW,@,DEN,W (+24),1,29:32,8,16,.500,0,3,.000,2,2,1.000,2,7,9,5,1,2,1,2,18,17.6,+29
27,44,2017-01-22,28-115,GSW,@,ORL,W (+20),1,29:04,5,12,.417,1,3,.333,4,5,.800,1,9,10,6,3,2,1,1,15,18.8,+35
28,14,2016-11-21,28-053,GSW,@,IND,W (+37),1,27:29,3,9,.333,1,4,.250,7,7,1.000,0,11,11,6,2,2,1,0,14,18.8,+27
29,55,2017-02-13,28-137,GSW,@,DEN,L (-22),1,26:41,10,16,.625,2,5,.400,3,3,1.000,1,3,4,5,1,1,3,1,25,21.2,-23
