Rk,G,Date,Age,Tm,,Opp,,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,19,2016-12-01,28-063,GSW,,HOU,L (-5),1,49:08,12,28,.429,3,11,.273,12,12,1.000,1,13,14,2,3,3,2,3,39,32.1,-5
2,37,2017-01-06,28-099,GSW,,MEM,L (-9),1,42:32,7,17,.412,0,5,.000,13,18,.722,2,11,13,4,0,3,4,1,27,21.1,+6
3,33,2016-12-28,28-090,GSW,,TOR,W (+10),1,38:14,8,15,.533,3,5,.600,3,5,.600,0,17,17,7,0,5,6,0,22,21.4,+21
4,17,2016-11-26,28-058,GSW,,MIN,W (+13),1,38:14,10,17,.588,3,4,.750,5,5,1.000,3,7,10,5,0,6,3,1,28,28.6,+9
5,10,2016-11-13,28-045,GSW,,PHO,W (+13),1,37:37,10,21,.476,2,5,.400,7,7,1.000,0,9,9,5,1,2,4,2,29,22.1,+13
6,36,2017-01-04,28-097,GSW,,POR,W (+8),1,37:31,9,16,.563,3,8,.375,9,9,1.000,0,5,5,4,2,3,2,3,30,27.6,+22
7,7,2016-11-07,28-039,GSW,,NOP,W (+10),1,36:54,8,17,.471,1,4,.250,5,6,.833,1,2,3,5,1,1,4,0,22,15.4,+4
8,1,2016-10-25,28-026,GSW,,SAS,L (-29),1,36:36,11,18,.611,1,3,.333,4,5,.800,0,10,10,4,2,2,0,2,27,26.8,-13
9,39,2017-01-10,28-103,GSW,,MIA,W (+12),1,36:35,10,21,.476,3,6,.500,5,5,1.000,1,7,8,0,1,2,2,2,28,19.7,+5
10,18,2016-11-28,28-060,GSW,,ATL,W (+5),1,36:24,8,16,.500,1,3,.333,8,8,1.000,0,14,14,3,1,2,4,1,25,21.3,-7
11,34,2016-12-30,28-092,GSW,,DAL,W (+9),1,35:26,7,14,.500,2,7,.286,3,4,.750,0,11,11,10,0,0,4,0,19,17.9,+9
12,8,2016-11-09,28-041,GSW,,DAL,W (+21),1,35:15,10,16,.625,4,7,.571,4,5,.800,0,10,10,4,0,1,3,3,28,22.7,+19
13,35,2017-01-02,28-095,GSW,,DEN,W (+8),1,34:27,10,19,.526,1,4,.250,0,0,,0,3,3,2,1,1,2,2,21,12.9,-4
14,57,2017-02-23,28-147,GSW,,LAC,W (+10),1,33:56,8,15,.533,4,6,.667,5,6,.833,1,14,15,7,1,1,1,3,25,26.6,+15
15,42,2017-01-18,28-111,GSW,,OKC,W (+21),1,33:49,13,16,.813,5,7,.714,9,10,.900,2,10,12,4,0,3,2,2,40,40.1,+31
16,27,2016-12-15,28-077,GSW,,NYK,W (+13),1,33:16,7,18,.389,1,6,.167,0,0,,1,13,14,8,0,2,2,1,15,14.4,+8
17,49,2017-02-01,28-125,GSW,,CHO,W (+15),1,32:39,7,17,.412,1,7,.143,3,3,1.000,2,6,8,8,1,0,1,0,18,17.7,+27
18,20,2016-12-03,28-065,GSW,,PHO,W (+29),1,32:20,5,7,.714,1,1,1.000,9,9,1.000,0,4,4,8,0,3,1,1,20,24.6,+27
19,56,2017-02-15,28-139,GSW,,SAC,W (+23),1,32:09,10,15,.667,1,4,.250,0,0,,0,7,7,7,1,4,1,1,21,23.9,+29
20,40,2017-01-12,28-105,GSW,,DET,W (+20),1,31:23,10,15,.667,3,5,.600,2,2,1.000,0,6,6,9,1,0,3,0,25,24.6,+24
21,5,2016-11-03,28-035,GSW,,OKC,W (+26),1,31:08,15,24,.625,7,11,.636,2,3,.667,1,6,7,1,0,1,2,3,39,28.5,+21
22,28,2016-12-17,28-079,GSW,,POR,W (+45),1,30:44,11,13,.846,4,5,.800,8,10,.800,1,10,11,4,2,1,5,2,34,31.9,+33
23,52,2017-02-08,28-132,GSW,,CHI,W (+31),1,30:41,9,16,.563,1,2,.500,3,3,1.000,0,10,10,7,3,1,3,1,22,22.6,+20
24,15,2016-11-23,28-055,GSW,,LAL,W (+43),1,30:10,11,15,.733,2,4,.500,4,5,.800,1,5,6,5,1,1,1,3,28,26.7,+17
25,47,2017-01-28,28-121,GSW,,LAC,W (+46),1,28:41,9,11,.818,3,4,.750,2,2,1.000,1,3,4,7,1,1,0,1,23,26.7,+32
26,41,2017-01-16,28-109,GSW,,CLE,W (+35),1,28:40,9,16,.563,3,7,.429,0,0,,1,5,6,5,2,3,1,0,21,22.2,+21
27,29,2016-12-20,28-082,GSW,,UTA,W (+30),1,24:44,8,14,.571,0,1,.000,6,6,1.000,1,4,5,1,0,0,1,4,22,15.4,+16
28,21,2016-12-05,28-067,GSW,,IND,W (+36),1,22:22,9,14,.643,0,2,.000,2,3,.667,1,7,8,4,0,2,2,3,20,17.2,+15
